id,item_id,category,difficulty,operation,syntax,attribute,negative_type,requires_rewrite,is_identity,is_passthrough,is_disclosure_necessary,prose_unchanged,leaks,name_origin,name_origin_marked,origin_plan,gender,input_text,output_text,changed,explanation,seed,split,source
b_h04_02,h04,health,easy,GENERALIZE,imperative,health:sleep_apnoea,,True,False,False,False,False,True,arabic,True,marked,female,"Bitte für Rana Haddad auf Dienstreisen ein Zimmer mit Steckdose am Bett buchen, das Schlafapnoe-Gerät braucht nachts Strom.",Bitte für [NAME] auf Dienstreisen ein Zimmer mit Steckdose am Bett buchen.,True,Die Buchungsanforderung ist ohne Nennung des Geräts vollständig umsetzbar; das Gerät benennt die Diagnose.,26509,train,synthetic_rewrite_pairs_de_b
b_h04_03,h04,health,easy,GENERALIZE,imperative,health:sleep_apnoea,,True,False,False,False,False,True,slavic,True,any,female,"Bitte für Jelena Simić auf Dienstreisen ein Zimmer mit Steckdose am Bett buchen, das Schlafapnoe-Gerät braucht nachts Strom.",Bitte für [NAME] auf Dienstreisen ein Zimmer mit Steckdose am Bett buchen.,True,Die Buchungsanforderung ist ohne Nennung des Geräts vollständig umsetzbar; das Gerät benennt die Diagnose.,34428,train,synthetic_rewrite_pairs_de_b
b_h05_01,h05,health,medium,CLAUSE_DROP,imperative,health:stoma,,True,False,False,False,False,True,german,False,german,male,"Bitte Bernd Ostermann ein Büro nahe der Toilette zuweisen, der Beutelwechsel ist mehrmals täglich nötig.",Bitte [NAME] ein Büro nahe der Toilette zuweisen.,True,Der Beutelwechsel lässt auf ein Stoma schließen. Die Raumbitte bleibt als solche bestehen und ist ohne Begründung erfüllbar.,96044,dev,synthetic_rewrite_pairs_de_b
b_h05_02,h05,health,medium,CLAUSE_DROP,imperative,health:stoma,,True,False,False,False,False,True,arabic,True,marked,male,"Bitte Karim Bouazizi ein Büro nahe der Toilette zuweisen, der Beutelwechsel ist mehrmals täglich nötig.",Bitte [NAME] ein Büro nahe der Toilette zuweisen.,True,Der Beutelwechsel lässt auf ein Stoma schließen. Die Raumbitte bleibt als solche bestehen und ist ohne Begründung erfüllbar.,103963,dev,synthetic_rewrite_pairs_de_b
b_h05_03,h05,health,medium,CLAUSE_DROP,imperative,health:stoma,,True,False,False,False,False,True,turkish,True,any,female,"Bitte Sevda Korkmaz ein Büro nahe der Toilette zuweisen, der Beutelwechsel ist mehrmals täglich nötig.",Bitte [NAME] ein Büro nahe der Toilette zuweisen.,True,Der Beutelwechsel lässt auf ein Stoma schließen. Die Raumbitte bleibt als solche bestehen und ist ohne Begründung erfüllbar.,111882,dev,synthetic_rewrite_pairs_de_b
b_h06_01,h06,health,medium,ABSTRACT_REASON,canonical,health:multiple_sclerosis,,True,False,False,False,False,True,german,False,german,female,Seit der MS-Diagnose plant Heike Lindenberg längere Wege mit deutlich mehr Puffer ein.,[NAME] plant längere Wege inzwischen mit deutlich mehr Puffer ein.,True,Die Diagnose ist hier die Begründung und damit die Offenlegung. Das geänderte Planungsverhalten bleibt beschrieben.,41170,train,synthetic_rewrite_pairs_de_b
b_h06_02,h06,health,medium,ABSTRACT_REASON,canonical,health:multiple_sclerosis,,True,False,False,False,False,True,jewish,True,marked,female,Seit der MS-Diagnose plant Esther Rosenfeld längere Wege mit deutlich mehr Puffer ein.,[NAME] plant längere Wege inzwischen mit deutlich mehr Puffer ein.,True,Die Diagnose ist hier die Begründung und damit die Offenlegung. Das geänderte Planungsverhalten bleibt beschrieben.,49089,train,synthetic_rewrite_pairs_de_b
b_h06_03,h06,health,medium,ABSTRACT_REASON,canonical,health:multiple_sclerosis,,True,False,False,False,False,True,arabic,True,any,female,Seit der MS-Diagnose plant Layla Mansour längere Wege mit deutlich mehr Puffer ein.,[NAME] plant längere Wege inzwischen mit deutlich mehr Puffer ein.,True,Die Diagnose ist hier die Begründung und damit die Offenlegung. Das geänderte Planungsverhalten bleibt beschrieben.,57008,train,synthetic_rewrite_pairs_de_b
b_h07_01,h07,health,medium,CLAUSE_DROP,canonical,health:anticoagulation,,True,False,False,False,False,True,german,False,german,female,"Kerstin Seidel sagt Mannschaftssport grundsätzlich ab, weil sie Marcumar nimmt.",[NAME] sagt Mannschaftssport grundsätzlich ab.,True,Das Präparat lässt auf eine Gerinnungshemmung und damit auf eine Herz-Kreislauf-Erkrankung schließen.,57096,train,synthetic_rewrite_pairs_de_b
b_h07_02,h07,health,medium,CLAUSE_DROP,canonical,health:anticoagulation,,True,False,False,False,False,True,jewish,True,marked,female,"Esther Rosenfeld sagt Mannschaftssport grundsätzlich ab, weil sie Marcumar nimmt.",[NAME] sagt Mannschaftssport grundsätzlich ab.,True,Das Präparat lässt auf eine Gerinnungshemmung und damit auf eine Herz-Kreislauf-Erkrankung schließen.,65015,train,synthetic_rewrite_pairs_de_b
b_h07_03,h07,health,medium,CLAUSE_DROP,canonical,health:anticoagulation,,True,False,False,False,False,True,polish,True,any,male,"Marek Zielinski sagt Mannschaftssport grundsätzlich ab, weil er Marcumar nimmt.",[NAME] sagt Mannschaftssport grundsätzlich ab.,True,Das Präparat lässt auf eine Gerinnungshemmung und damit auf eine Herz-Kreislauf-Erkrankung schließen.,72934,train,synthetic_rewrite_pairs_de_b
b_h08_01,h08,health,hard,GENERALIZE,canonical,health:hearing_impairment,,True,False,False,False,False,True,german,False,german,female,"Sabine Reinhardt bittet darum, im Großraum immer von vorne angesprochen zu werden, weil das Hörgerät seitliche Stimmen schlecht trennt.","[NAME] bittet darum, im Großraum immer von vorne angesprochen zu werden.",True,Die Bitte ist ohne die technische Begründung genauso befolgbar; das Hörgerät offenbart eine Sinnesbeeinträchtigung.,28249,train,synthetic_rewrite_pairs_de_b
b_h08_02,h08,health,hard,GENERALIZE,canonical,health:hearing_impairment,,True,False,False,False,False,True,turkish,True,marked,male,"Serkan Baransel bittet darum, im Großraum immer von vorne angesprochen zu werden, weil das Hörgerät seitliche Stimmen schlecht trennt.","[NAME] bittet darum, im Großraum immer von vorne angesprochen zu werden.",True,Die Bitte ist ohne die technische Begründung genauso befolgbar; das Hörgerät offenbart eine Sinnesbeeinträchtigung.,36168,train,synthetic_rewrite_pairs_de_b
b_h08_03,h08,health,hard,GENERALIZE,canonical,health:hearing_impairment,,True,False,False,False,False,True,german,False,any,female,"Petra Vollmer bittet darum, im Großraum immer von vorne angesprochen zu werden, weil das Hörgerät seitliche Stimmen schlecht trennt.","[NAME] bittet darum, im Großraum immer von vorne angesprochen zu werden.",True,Die Bitte ist ohne die technische Begründung genauso befolgbar; das Hörgerät offenbart eine Sinnesbeeinträchtigung.,44087,train,synthetic_rewrite_pairs_de_b
b_h09_01,h09,health,hard,ABSTRACT_REASON,canonical,health:mental_health,,True,False,False,False,False,True,german,False,german,male,"Bernd Ostermann hat die Klausurtagung abgesagt, weil die Institutsambulanz in dieser Woche einen festen Termin vergeben hat.",[NAME] hat die Klausurtagung wegen eines feststehenden Termins abgesagt.,True,"Die Einrichtung verrät die Art der Behandlung. Die Absage und ihr terminlicher Grund bleiben erhalten, ohne neue Tatsachen zu erfinden.",46563,train,synthetic_rewrite_pairs_de_b
b_h09_02,h09,health,hard,ABSTRACT_REASON,canonical,health:mental_health,,True,False,False,False,False,True,arabic,True,marked,male,"Omar Sabri hat die Klausurtagung abgesagt, weil die Institutsambulanz in dieser Woche einen festen Termin vergeben hat.",[NAME] hat die Klausurtagung wegen eines feststehenden Termins abgesagt.,True,"Die Einrichtung verrät die Art der Behandlung. Die Absage und ihr terminlicher Grund bleiben erhalten, ohne neue Tatsachen zu erfinden.",54482,train,synthetic_rewrite_pairs_de_b
b_h09_03,h09,health,hard,ABSTRACT_REASON,canonical,health:mental_health,,True,False,False,False,False,True,polish,True,any,female,"Agnieszka Duda hat die Klausurtagung abgesagt, weil die Institutsambulanz in dieser Woche einen festen Termin vergeben hat.",[NAME] hat die Klausurtagung wegen eines feststehenden Termins abgesagt.,True,"Die Einrichtung verrät die Art der Behandlung. Die Absage und ihr terminlicher Grund bleiben erhalten, ohne neue Tatsachen zu erfinden.",62401,train,synthetic_rewrite_pairs_de_b
b_h10_01,h10,health,hard,GENERALIZE,canonical,health:back_condition,,True,False,False,False,False,True,german,False,german,male,Seit dem Bandscheibenvorfall kann Uwe Kellner nicht länger als zwanzig Minuten am Stück sitzen.,[NAME] kann derzeit nicht länger als zwanzig Minuten am Stück sitzen.,True,Die konkrete Diagnose ist für die Arbeitsplatzgestaltung nicht nötig; die funktionelle Einschränkung genügt.,71846,train,synthetic_rewrite_pairs_de_b
b_h10_02,h10,health,hard,GENERALIZE,canonical,health:back_condition,,True,False,False,False,False,True,slavic,True,marked,male,Seit dem Bandscheibenvorfall kann Milan Novak nicht länger als zwanzig Minuten am Stück sitzen.,[NAME] kann derzeit nicht länger als zwanzig Minuten am Stück sitzen.,True,Die konkrete Diagnose ist für die Arbeitsplatzgestaltung nicht nötig; die funktionelle Einschränkung genügt.,79765,train,synthetic_rewrite_pairs_de_b
b_h10_03,h10,health,hard,GENERALIZE,canonical,health:back_condition,,True,False,False,False,False,True,german,False,any,male,Seit dem Bandscheibenvorfall kann Ralf Brandt nicht länger als zwanzig Minuten am Stück sitzen.,[NAME] kann derzeit nicht länger als zwanzig Minuten am Stück sitzen.,True,Die konkrete Diagnose ist für die Arbeitsplatzgestaltung nicht nötig; die funktionelle Einschränkung genügt.,87684,train,synthetic_rewrite_pairs_de_b
b_h11_01,h11,health,medium,CLAUSE_DROP,passive,health:crohn,,True,False,False,False,False,True,german,False,german,female,"Es wurde im Protokoll vermerkt, dass die Infusionstermine von Kerstin Seidel wegen des akuten Schubs vorgezogen werden mussten.","Es wurde im Protokoll vermerkt, dass die Termine von [NAME] vorgezogen werden mussten.",True,Infusionstermine in Verbindung mit einem Schub weisen auf eine chronisch-entzündliche Erkrankung hin. Die Terminverschiebung bleibt protokolliert.,66804,train,synthetic_rewrite_pairs_de_b
b_h11_02,h11,health,medium,CLAUSE_DROP,passive,health:crohn,,True,False,False,False,False,True,south_asian,True,marked,male,"Es wurde im Protokoll vermerkt, dass die Infusionstermine von Arjun Pillai wegen des akuten Schubs vorgezogen werden mussten.","Es wurde im Protokoll vermerkt, dass die Termine von [NAME] vorgezogen werden mussten.",True,Infusionstermine in Verbindung mit einem Schub weisen auf eine chronisch-entzündliche Erkrankung hin. Die Terminverschiebung bleibt protokolliert.,74723,train,synthetic_rewrite_pairs_de_b
b_h11_03,h11,health,medium,CLAUSE_DROP,passive,health:crohn,,True,False,False,False,False,True,polish,True,any,female,"Es wurde im Protokoll vermerkt, dass die Infusionstermine von Agnieszka Duda wegen des akuten Schubs vorgezogen werden mussten.","Es wurde im Protokoll vermerkt, dass die Termine von [NAME] vorgezogen werden mussten.",True,Infusionstermine in Verbindung mit einem Schub weisen auf eine chronisch-entzündliche Erkrankung hin. Die Terminverschiebung bleibt protokolliert.,82642,train,synthetic_rewrite_pairs_de_b
b_h12_01,h12,health,hard,ABSTRACT_REASON,multi_sentence,health:migraine,,True,False,False,False,False,True,german,False,german,male,Die Abstimmung am Donnerstag findet ohne Bernd Ostermann statt. Er liegt bei jeder Attacke stundenlang im abgedunkelten Zimmer und ist dann nicht erreichbar.,Die Abstimmung am Donnerstag findet ohne [NAME] statt. Er ist an diesen Tagen nicht erreichbar.,True,Der erste Satz ist unbedenklich und bleibt wörtlich stehen. Der zweite beschreibt ein Krankheitsbild und wird auf die organisatorisch relevante Aussage reduziert.,23370,dev,synthetic_rewrite_pairs_de_b
b_h12_02,h12,health,hard,ABSTRACT_REASON,multi_sentence,health:migraine,,True,False,False,False,False,True,jewish,True,marked,male,Die Abstimmung am Donnerstag findet ohne Josef Sternberg statt. Er liegt bei jeder Attacke stundenlang im abgedunkelten Zimmer und ist dann nicht erreichbar.,Die Abstimmung am Donnerstag findet ohne [NAME] statt. Er ist an diesen Tagen nicht erreichbar.,True,Der erste Satz ist unbedenklich und bleibt wörtlich stehen. Der zweite beschreibt ein Krankheitsbild und wird auf die organisatorisch relevante Aussage reduziert.,31289,dev,synthetic_rewrite_pairs_de_b
b_h12_03,h12,health,hard,ABSTRACT_REASON,multi_sentence,health:migraine,,True,False,False,False,False,True,chinese,True,any,female,Die Abstimmung am Donnerstag findet ohne Mei Tan statt. Sie liegt bei jeder Attacke stundenlang im abgedunkelten Zimmer und ist dann nicht erreichbar.,Die Abstimmung am Donnerstag findet ohne [NAME] statt. Sie ist an diesen Tagen nicht erreichbar.,True,Der erste Satz ist unbedenklich und bleibt wörtlich stehen. Der zweite beschreibt ein Krankheitsbild und wird auf die organisatorisch relevante Aussage reduziert.,39208,dev,synthetic_rewrite_pairs_de_b
b_h13_01,h13,health,medium,CLAUSE_DROP,canonical,health:fertility,,True,False,False,False,False,True,german,False,german,female,"Ute Mahler braucht in den nächsten Wochen mehrfach kurzfristig frei, weil die Kinderwunschbehandlung feste Zeitfenster vorgibt.",[NAME] braucht in den nächsten Wochen mehrfach kurzfristig frei.,True,Die Behandlung ist eine Gesundheitsangabe und zusätzlich hoch persönlich. Der Bedarf an kurzfristiger Freistellung genügt zur Planung.,63520,train,synthetic_rewrite_pairs_de_b
b_h13_02,h13,health,medium,CLAUSE_DROP,canonical,health:fertility,,True,False,False,False,False,True,jewish,True,marked,female,"Ruth Blumenthal braucht in den nächsten Wochen mehrfach kurzfristig frei, weil die Kinderwunschbehandlung feste Zeitfenster vorgibt.",[NAME] braucht in den nächsten Wochen mehrfach kurzfristig frei.,True,Die Behandlung ist eine Gesundheitsangabe und zusätzlich hoch persönlich. Der Bedarf an kurzfristiger Freistellung genügt zur Planung.,71439,train,synthetic_rewrite_pairs_de_b
b_h13_03,h13,health,medium,CLAUSE_DROP,canonical,health:fertility,,True,False,False,False,False,True,turkish,True,any,female,"Hülya Doğan braucht in den nächsten Wochen mehrfach kurzfristig frei, weil die Kinderwunschbehandlung feste Zeitfenster vorgibt.",[NAME] braucht in den nächsten Wochen mehrfach kurzfristig frei.,True,Die Behandlung ist eine Gesundheitsangabe und zusätzlich hoch persönlich. Der Bedarf an kurzfristiger Freistellung genügt zur Planung.,79358,train,synthetic_rewrite_pairs_de_b
b_h14_01,h14,health,hard,GENERALIZE,relative,health:vision_impairment,,True,False,False,False,False,True,german,False,german,male,"Der Arbeitsplatz, den Volker Reimann seit Januar nutzt, ist mit einer Braillezeile und einer Sprachausgabe ausgestattet.","Der Arbeitsplatz, den [NAME] seit Januar nutzt, ist mit besonderer Ausstattung versehen.",True,Braillezeile und Sprachausgabe erlauben den Rückschluss auf eine Sehbeeinträchtigung. Für die Inventarisierung reicht der Hinweis auf eine Sonderausstattung.,85631,train,synthetic_rewrite_pairs_de_b
b_h14_02,h14,health,hard,GENERALIZE,relative,health:vision_impairment,,True,False,False,False,False,True,turkish,True,marked,male,"Der Arbeitsplatz, den Emre Yücel seit Januar nutzt, ist mit einer Braillezeile und einer Sprachausgabe ausgestattet.","Der Arbeitsplatz, den [NAME] seit Januar nutzt, ist mit besonderer Ausstattung versehen.",True,Braillezeile und Sprachausgabe erlauben den Rückschluss auf eine Sehbeeinträchtigung. Für die Inventarisierung reicht der Hinweis auf eine Sonderausstattung.,93550,train,synthetic_rewrite_pairs_de_b
b_h14_03,h14,health,hard,GENERALIZE,relative,health:vision_impairment,,True,False,False,False,False,True,german,False,any,male,"Der Arbeitsplatz, den Detlef Baumgart seit Januar nutzt, ist mit einer Braillezeile und einer Sprachausgabe ausgestattet.","Der Arbeitsplatz, den [NAME] seit Januar nutzt, ist mit besonderer Ausstattung versehen.",True,Braillezeile und Sprachausgabe erlauben den Rückschluss auf eine Sehbeeinträchtigung. Für die Inventarisierung reicht der Hinweis auf eine Sonderausstattung.,101469,train,synthetic_rewrite_pairs_de_b
b_h15_01,h15,health,medium,ABSTRACT_REASON+PASS_THROUGH,imperative,health:joint_replacement,,True,False,True,False,False,True,german,False,german,male,"Bitte für Uwe Kellner keinen Platz in der oberen Etage einplanen, Raum 3.27 im Erdgeschoss wäre passend — seit der Hüftprothese sind Treppen ein Problem.","Bitte für [NAME] keinen Platz in der oberen Etage einplanen, Raum 3.27 im Erdgeschoss wäre passend — Treppen sind aus gesundheitlichen Gründen ein Problem.",True,Die Anweisung bleibt vollständig befolgbar. Die Prothese als Ursache ist eine Gesundheitsangabe und wird abstrahiert.,15245,train,synthetic_rewrite_pairs_de_b
b_h15_02,h15,health,medium,ABSTRACT_REASON+PASS_THROUGH,imperative,health:joint_replacement,,True,False,True,False,False,True,chinese,True,marked,male,"Bitte für Feng Liu keinen Platz in der oberen Etage einplanen, Raum 3.92 im Erdgeschoss wäre passend — seit der Hüftprothese sind Treppen ein Problem.","Bitte für [NAME] keinen Platz in der oberen Etage einplanen, Raum 3.92 im Erdgeschoss wäre passend — Treppen sind aus gesundheitlichen Gründen ein Problem.",True,Die Anweisung bleibt vollständig befolgbar. Die Prothese als Ursache ist eine Gesundheitsangabe und wird abstrahiert.,23164,train,synthetic_rewrite_pairs_de_b
b_h15_03,h15,health,medium,ABSTRACT_REASON+PASS_THROUGH,imperative,health:joint_replacement,,True,False,True,False,False,True,turkish,True,any,male,"Bitte für Emre Yücel keinen Platz in der oberen Etage einplanen, Raum 2.10 im Erdgeschoss wäre passend — seit der Hüftprothese sind Treppen ein Problem.","Bitte für [NAME] keinen Platz in der oberen Etage einplanen, Raum 2.10 im Erdgeschoss wäre passend — Treppen sind aus gesundheitlichen Gründen ein Problem.",True,Die Anweisung bleibt vollständig befolgbar. Die Prothese als Ursache ist eine Gesundheitsangabe und wird abstrahiert.,31083,train,synthetic_rewrite_pairs_de_b
b_e01_01,e01,ethnicity,easy,CLAUSE_DROP,imperative,ethnicity:religious_practice_islam,,True,False,False,False,False,True,german,False,german,male,"Bitte den zehnten Tag für Bernd Ostermann als Urlaub eintragen, er begeht an dem Tag Aschura.",Bitte den zehnten Tag für [NAME] als Urlaub eintragen.,True,Die Nennung des Feiertags offenbart die Religionszugehörigkeit. Für die Urlaubsplanung ist nur der Tag relevant.,38338,train,synthetic_rewrite_pairs_de_b
b_e01_02,e01,ethnicity,easy,CLAUSE_DROP,imperative,ethnicity:religious_practice_islam,,True,False,False,False,False,True,west_african,True,marked,female,"Bitte den zehnten Tag für Amara Bello als Urlaub eintragen, sie begeht an dem Tag Aschura.",Bitte den zehnten Tag für [NAME] als Urlaub eintragen.,True,Die Nennung des Feiertags offenbart die Religionszugehörigkeit. Für die Urlaubsplanung ist nur der Tag relevant.,46257,train,synthetic_rewrite_pairs_de_b
b_e01_03,e01,ethnicity,easy,CLAUSE_DROP,imperative,ethnicity:religious_practice_islam,,True,False,False,False,False,True,west_african,True,any,male,"Bitte den zehnten Tag für Kwame Mensah als Urlaub eintragen, er begeht an dem Tag Aschura.",Bitte den zehnten Tag für [NAME] als Urlaub eintragen.,True,Die Nennung des Feiertags offenbart die Religionszugehörigkeit. Für die Urlaubsplanung ist nur der Tag relevant.,54176,train,synthetic_rewrite_pairs_de_b
b_e02_01,e02,ethnicity,medium,ABSTRACT_REASON,canonical,ethnicity:religious_practice_islam,,True,False,False,False,False,True,german,False,german,female,"Petra Vollmer verschiebt die Abendtermine, weil sie erst nach Sonnenuntergang das Fasten bricht.",[NAME] verschiebt die Abendtermine aus persönlichen Gründen.,True,"Das Fastenbrechen nach Sonnenuntergang ist eine religiöse Praxis. Die Terminverschiebung bleibt bestehen, die Begründung wird abstrahiert.",38460,train,synthetic_rewrite_pairs_de_b
b_e02_02,e02,ethnicity,medium,ABSTRACT_REASON,canonical,ethnicity:religious_practice_islam,,True,False,False,False,False,True,arabic,True,marked,male,"Omar Sabri verschiebt die Abendtermine, weil er erst nach Sonnenuntergang das Fasten bricht.",[NAME] verschiebt die Abendtermine aus persönlichen Gründen.,True,"Das Fastenbrechen nach Sonnenuntergang ist eine religiöse Praxis. Die Terminverschiebung bleibt bestehen, die Begründung wird abstrahiert.",46379,train,synthetic_rewrite_pairs_de_b
b_e02_03,e02,ethnicity,medium,ABSTRACT_REASON,canonical,ethnicity:religious_practice_islam,,True,False,False,False,False,True,jewish,True,any,female,"Ruth Blumenthal verschiebt die Abendtermine, weil sie erst nach Sonnenuntergang das Fasten bricht.",[NAME] verschiebt die Abendtermine aus persönlichen Gründen.,True,"Das Fastenbrechen nach Sonnenuntergang ist eine religiöse Praxis. Die Terminverschiebung bleibt bestehen, die Begründung wird abstrahiert.",54298,train,synthetic_rewrite_pairs_de_b
b_e03_01,e03,ethnicity,easy,GENERALIZE,canonical,ethnicity:cultural_practice_turkish,,True,False,False,False,False,True,german,False,german,male,"Detlef Baumgart nimmt den Freitag frei, da die Familie den Henna-Abend der Schwester ausrichtet.",[NAME] nimmt den Freitag für eine Familienfeier frei.,True,"Der Henna-Abend ist ein kulturell eindeutig zuordenbarer Brauch. 'Familienfeier' bewahrt den Anlass, ohne die Herkunft offenzulegen.",80814,train,synthetic_rewrite_pairs_de_b
b_e03_02,e03,ethnicity,easy,GENERALIZE,canonical,ethnicity:cultural_practice_turkish,,True,False,False,False,False,True,slavic,True,marked,male,"Milan Novak nimmt den Freitag frei, da die Familie den Henna-Abend der Schwester ausrichtet.",[NAME] nimmt den Freitag für eine Familienfeier frei.,True,"Der Henna-Abend ist ein kulturell eindeutig zuordenbarer Brauch. 'Familienfeier' bewahrt den Anlass, ohne die Herkunft offenzulegen.",88733,train,synthetic_rewrite_pairs_de_b
b_e03_03,e03,ethnicity,easy,GENERALIZE,canonical,ethnicity:cultural_practice_turkish,,True,False,False,False,False,True,jewish,True,any,female,"Ruth Blumenthal nimmt den Freitag frei, da die Familie den Henna-Abend der Schwester ausrichtet.",[NAME] nimmt den Freitag für eine Familienfeier frei.,True,"Der Henna-Abend ist ein kulturell eindeutig zuordenbarer Brauch. 'Familienfeier' bewahrt den Anlass, ohne die Herkunft offenzulegen.",96652,train,synthetic_rewrite_pairs_de_b
b_e04_01,e04,ethnicity,medium,CLAUSE_DROP,canonical,ethnicity:religious_practice_buddhist,,True,False,False,False,False,True,german,False,german,female,Kerstin Seidel bringt zum Vesakfest jedes Jahr Reiskuchen für die Teeküche mit.,[NAME] bringt gelegentlich Reiskuchen für die Teeküche mit.,True,"Das Vesakfest benennt die Religionszugehörigkeit. Die Beobachtung selbst bleibt erhalten, ohne den Anlass zu nennen.",77873,train,synthetic_rewrite_pairs_de_b
b_e04_02,e04,ethnicity,medium,CLAUSE_DROP,canonical,ethnicity:religious_practice_buddhist,,True,False,False,False,False,True,turkish,True,marked,female,Hülya Doğan bringt zum Vesakfest jedes Jahr Reiskuchen für die Teeküche mit.,[NAME] bringt gelegentlich Reiskuchen für die Teeküche mit.,True,"Das Vesakfest benennt die Religionszugehörigkeit. Die Beobachtung selbst bleibt erhalten, ohne den Anlass zu nennen.",85792,train,synthetic_rewrite_pairs_de_b
